customer_id,loyalty_score,product_id,product_description,product_category,basket,date_of_purchase
C10,,,,,"[{'product_id': 'P10', 'price': 380}, {'product_id': 'P01', 'price': 1822}]",2018-12-02 06:34:00
C21,,,,,"[{'product_id': 'P49', 'price': 39}, {'product_id': 'P41', 'price': 499}]",2018-12-02 06:13:00
C22,,,,,"[{'product_id': 'P51', 'price': 1269}, {'product_id': 'P51', 'price': 1298}, {'product_id': 'P51', 'price': 1941}]",2018-12-02 04:28:00
C26,,,,,"[{'product_id': 'P58', 'price': 1111}, {'product_id': 'P56', 'price': 847}]",2018-12-02 06:25:00
C27,,,,,"[{'product_id': 'P62', 'price': 1558}, {'product_id': 'P61', 'price': 1450}, {'product_id': 'P61', 'price': 604}]",2018-12-02 10:37:00
C28,,,,,"[{'product_id': 'P46', 'price': 447}, {'product_id': 'P50', 'price': 752}]",2018-12-02 16:47:00
C31,,,,,"[{'product_id': 'P23', 'price': 1736}]",2018-12-02 19:37:00
C32,,,,,"[{'product_id': 'P07', 'price': 737}, {'product_id': 'P08', 'price': 1542}]",2018-12-02 04:47:00
C43,,,,,"[{'product_id': 'P10', 'price': 1976}, {'product_id': 'P11', 'price': 265}]",2018-12-02 23:43:00
C44,,,,,"[{'product_id': 'P22', 'price': 1104}, {'product_id': 'P30', 'price': 1822}]",2018-12-02 20:09:00
C48,,,,,"[{'product_id': 'P29', 'price': 1829}]",2018-12-02 03:42:00
C51,,,,,"[{'product_id': 'P58', 'price': 947}, {'product_id': 'P56', 'price': 811}]",2018-12-02 06:31:00
C55,,,,,"[{'product_id': 'P47', 'price': 1108}, {'product_id': 'P45', 'price': 1008}]",2018-12-02 14:31:00
C61,,,,,"[{'product_id': 'P40', 'price': 205}]",2018-12-02 14:49:00
C64,,,,,"[{'product_id': 'P18', 'price': 542}, {'product_id': 'P14', 'price': 1026}]",2018-12-02 20:37:00
C68,,,,,"[{'product_id': 'P09', 'price': 1863}]",2018-12-02 11:01:00
C74,,,,,"[{'product_id': 'P26', 'price': 886}]",2018-12-02 10:48:00
C76,,,,,"[{'product_id': 'P12', 'price': 1763}]",2018-12-02 07:56:00
C83,,,,,"[{'product_id': 'P62', 'price': 1188}]",2018-12-02 06:29:00
C85,,,,,"[{'product_id': 'P39', 'price': 648}, {'product_id': 'P39', 'price': 723}]",2018-12-02 11:22:00
C86,,,,,"[{'product_id': 'P35', 'price': 823}, {'product_id': 'P37', 'price': 1467}]",2018-12-02 11:12:00
C89,,,,,"[{'product_id': 'P39', 'price': 746}, {'product_id': 'P40', 'price': 1229}, {'product_id': 'P39', 'price': 1848}]",2018-12-02 09:07:00
C92,,,,,"[{'product_id': 'P47', 'price': 179}, {'product_id': 'P47', 'price': 7}, {'product_id': 'P41', 'price': 1386}]",2018-12-02 22:10:00
C102,,,,,"[{'product_id': 'P44', 'price': 1596}]",2018-12-02 22:00:00
C103,,,,,"[{'product_id': 'P24', 'price': 1654}, {'product_id': 'P32', 'price': 698}, {'product_id': 'P27', 'price': 1115}]",2018-12-02 21:43:00
C108,,,,,"[{'product_id': 'P36', 'price': 192}]",2018-12-02 04:24:00
C109,,,,,"[{'product_id': 'P37', 'price': 1100}, {'product_id': 'P35', 'price': 7}]",2018-12-02 14:40:00
C110,,,,,"[{'product_id': 'P64', 'price': 1903}]",2018-12-02 19:35:00
C115,,,,,"[{'product_id': 'P38', 'price': 1797}]",2018-12-02 15:18:00
C119,,,,,"[{'product_id': 'P47', 'price': 612}, {'product_id': 'P57', 'price': 33}]",2018-12-02 05:40:00
C124,,,,,"[{'product_id': 'P52', 'price': 1816}]",2018-12-02 07:15:00
C125,,,,,"[{'product_id': 'P38', 'price': 860}, {'product_id': 'P38', 'price': 15}, {'product_id': 'P38', 'price': 379}]",2018-12-02 03:01:00
C131,,,,,"[{'product_id': 'P52', 'price': 1816}, {'product_id': 'P46', 'price': 1933}]",2018-12-02 15:38:00
C132,,,,,"[{'product_id': 'P02', 'price': 858}]",2018-12-02 17:03:00
C135,,,,,"[{'product_id': 'P32', 'price': 302}, {'product_id': 'P32', 'price': 1206}, {'product_id': 'P30', 'price': 723}]",2018-12-02 16:48:00
C1,,,,,"[{'product_id': 'P43', 'price': 1982}]",2018-12-03 19:55:00
C4,,,,,"[{'product_id': 'P59', 'price': 1322}]",2018-12-03 13:19:00
C5,,,,,"[{'product_id': 'P62', 'price': 1338}, {'product_id': 'P61', 'price': 1181}, {'product_id': 'P63', 'price': 969}]",2018-12-03 10:07:00
C15,,,,,"[{'product_id': 'P30', 'price': 1226}, {'product_id': 'P34', 'price': 1874}, {'product_id': 'P32', 'price': 1479}]",2018-12-03 17:14:00
C18,,,,,"[{'product_id': 'P08', 'price': 23}]",2018-12-03 11:49:00
C27,,,,,"[{'product_id': 'P61', 'price': 1633}, {'product_id': 'P62', 'price': 469}]",2018-12-03 23:10:00
C32,,,,,"[{'product_id': 'P52', 'price': 1477}]",2018-12-03 19:26:00
C38,,,,,"[{'product_id': 'P24', 'price': 226}, {'product_id': 'P32', 'price': 1491}, {'product_id': 'P27', 'price': 773}]",2018-12-03 20:43:00
C44,,,,,"[{'product_id': 'P43', 'price': 1988}, {'product_id': 'P56', 'price': 1366}, {'product_id': 'P47', 'price': 174}]",2018-12-03 19:50:00
C49,,,,,"[{'product_id': 'P27', 'price': 202}, {'product_id': 'P26', 'price': 1913}]",2018-12-03 07:42:00
C57,,,,,"[{'product_id': 'P36', 'price': 300}]",2018-12-03 14:39:00
C60,,,,,"[{'product_id': 'P25', 'price': 521}, {'product_id': 'P26', 'price': 1690}, {'product_id': 'P29', 'price': 1926}]",2018-12-03 06:13:00
C74,,,,,"[{'product_id': 'P58', 'price': 958}, {'product_id': 'P50', 'price': 1456}]",2018-12-03 15:55:00
C76,,,,,"[{'product_id': 'P50', 'price': 1277}, {'product_id': 'P43', 'price': 1454}, {'product_id': 'P48', 'price': 1358}]",2018-12-03 14:47:00
C88,,,,,"[{'product_id': 'P49', 'price': 397}]",2018-12-03 17:59:00
C106,,,,,"[{'product_id': 'P41', 'price': 1751}]",2018-12-03 21:11:00
C107,,,,,"[{'product_id': 'P54', 'price': 565}]",2018-12-03 18:52:00
C110,,,,,"[{'product_id': 'P07', 'price': 292}]",2018-12-03 20:06:00
C113,,,,,"[{'product_id': 'P49', 'price': 1427}, {'product_id': 'P58', 'price': 1270}]",2018-12-03 23:02:00
C125,,,,,"[{'product_id': 'P36', 'price': 1136}, {'product_id': 'P37', 'price': 648}, {'product_id': 'P36', 'price': 1124}]",2018-12-03 21:05:00
C129,,,,,"[{'product_id': 'P39', 'price': 1078}]",2018-12-03 15:25:00
C132,,,,,"[{'product_id': 'P09', 'price': 1695}, {'product_id': 'P08', 'price': 565}, {'product_id': 'P11', 'price': 1644}]",2018-12-03 09:16:00
C133,,,,,"[{'product_id': 'P64', 'price': 542}, {'product_id': 'P62', 'price': 896}, {'product_id': 'P63', 'price': 518}]",2018-12-03 17:03:00
C1,,,,,"[{'product_id': 'P64', 'price': 1737}, {'product_id': 'P63', 'price': 1421}]",2018-12-04 05:48:00
C6,,,,,"[{'product_id': 'P18', 'price': 707}]",2018-12-04 14:21:00
C13,,,,,"[{'product_id': 'P20', 'price': 888}]",2018-12-04 21:34:00
C18,,,,,"[{'product_id': 'P04', 'price': 537}, {'product_id': 'P11', 'price': 404}]",2018-12-04 04:55:00
C25,,,,,"[{'product_id': 'P59', 'price': 1231}]",2018-12-04 17:44:00
C26,,,,,"[{'product_id': 'P02', 'price': 1616}]",2018-12-04 12:17:00
C36,,,,,"[{'product_id': 'P33', 'price': 277}]",2018-12-04 17:24:00
C37,,,,,"[{'product_id': 'P25', 'price': 219}, {'product_id': 'P27', 'price': 551}]",2018-12-04 20:50:00
C42,,,,,"[{'product_id': 'P32', 'price': 1420}]",2018-12-04 12:13:00
C44,,,,,"[{'product_id': 'P24', 'price': 1067}, {'product_id': 'P25', 'price': 1066}, {'product_id': 'P27', 'price': 980}]",2018-12-04 22:09:00
C50,,,,,"[{'product_id': 'P24', 'price': 1856}, {'product_id': 'P27', 'price': 342}]",2018-12-04 21:41:00
C51,,,,,"[{'product_id': 'P14', 'price': 258}, {'product_id': 'P14', 'price': 1028}, {'product_id': 'P14', 'price': 179}]",2018-12-04 16:07:00
C54,,,,,"[{'product_id': 'P39', 'price': 811}]",2018-12-04 14:19:00
C70,,,,,"[{'product_id': 'P05', 'price': 1142}, {'product_id': 'P03', 'price': 901}, {'product_id': 'P09', 'price': 1797}]",2018-12-04 05:17:00
C81,,,,,"[{'product_id': 'P40', 'price': 1564}, {'product_id': 'P37', 'price': 1547}, {'product_id': 'P38', 'price': 1280}]",2018-12-04 15:53:00
C95,,,,,"[{'product_id': 'P50', 'price': 1342}, {'product_id': 'P47', 'price': 1416}, {'product_id': 'P56', 'price': 286}]",2018-12-04 22:28:00
C96,,,,,"[{'product_id': 'P61', 'price': 2}, {'product_id': 'P64', 'price': 701}]",2018-12-04 22:52:00
C102,,,,,"[{'product_id': 'P02', 'price': 1056}, {'product_id': 'P09', 'price': 1689}]",2018-12-04 05:31:00
C104,,,,,"[{'product_id': 'P35', 'price': 106}, {'product_id': 'P35', 'price': 1945}, {'product_id': 'P37', 'price': 1592}]",2018-12-04 14:10:00
C105,,,,,"[{'product_id': 'P60', 'price': 1979}, {'product_id': 'P51', 'price': 347}, {'product_id': 'P42', 'price': 1677}]",2018-12-04 05:13:00
C107,,,,,"[{'product_id': 'P56', 'price': 597}]",2018-12-04 09:32:00
C109,,,,,"[{'product_id': 'P39', 'price': 1380}, {'product_id': 'P36', 'price': 425}]",2018-12-04 03:21:00
C115,,,,,"[{'product_id': 'P61', 'price': 1042}, {'product_id': 'P63', 'price': 1598}, {'product_id': 'P64', 'price': 445}]",2018-12-04 14:59:00
C118,,,,,"[{'product_id': 'P21', 'price': 342}, {'product_id': 'P21', 'price': 1497}]",2018-12-04 12:31:00
C120,,,,,"[{'product_id': 'P35', 'price': 499}, {'product_id': 'P38', 'price': 771}, {'product_id': 'P38', 'price': 1899}]",2018-12-04 08:11:00
C127,,,,,"[{'product_id': 'P17', 'price': 754}]",2018-12-04 23:18:00
C130,,,,,"[{'product_id': 'P62', 'price': 915}, {'product_id': 'P64', 'price': 1152}, {'product_id': 'P63', 'price': 1775}]",2018-12-04 09:42:00
C4,,,,,"[{'product_id': 'P30', 'price': 113}]",2018-12-05 08:59:00
C16,,,,,"[{'product_id': 'P01', 'price': 1411}, {'product_id': 'P02', 'price': 709}]",2018-12-05 13:42:00
C17,,,,,"[{'product_id': 'P23', 'price': 242}]",2018-12-05 16:23:00
C23,,,,,"[{'product_id': 'P39', 'price': 843}, {'product_id': 'P39', 'price': 1753}]",2018-12-05 23:27:00
C25,,,,,"[{'product_id': 'P56', 'price': 302}, {'product_id': 'P45', 'price': 1324}]",2018-12-05 15:47:00
C27,,,,,"[{'product_id': 'P61', 'price': 1930}]",2018-12-05 13:27:00
C28,,,,,"[{'product_id': 'P38', 'price': 1974}]",2018-12-05 07:36:00
C30,,,,,"[{'product_id': 'P62', 'price': 1601}, {'product_id': 'P64', 'price': 1243}, {'product_id': 'P62', 'price': 1070}]",2018-12-05 07:12:00
C31,,,,,"[{'product_id': 'P37', 'price': 128}, {'product_id': 'P38', 'price': 1053}, {'product_id': 'P36', 'price': 293}]",2018-12-05 21:20:00
C36,,,,,"[{'product_id': 'P22', 'price': 52}]",2018-12-05 03:04:00
C41,,,,,"[{'product_id': 'P34', 'price': 962}, {'product_id': 'P25', 'price': 1546}, {'product_id': 'P27', 'price': 133}]",2018-12-05 10:00:00
C42,,,,,"[{'product_id': 'P50', 'price': 374}, {'product_id': 'P57', 'price': 1728}]",2018-12-05 17:21:00
C44,,,,,"[{'product_id': 'P29', 'price': 1949}]",2018-12-05 14:06:00
C48,,,,,"[{'product_id': 'P33', 'price': 1802}, {'product_id': 'P22', 'price': 788}, {'product_id': 'P26', 'price': 1869}]",2018-12-05 14:34:00
C52,,,,,"[{'product_id': 'P64', 'price': 1}, {'product_id': 'P62', 'price': 869}, {'product_id': 'P61', 'price': 1527}]",2018-12-05 21:34:00
C65,,,,,"[{'product_id': 'P54', 'price': 1932}]",2018-12-05 04:25:00
C68,,,,,"[{'product_id': 'P34', 'price': 981}]",2018-12-05 17:43:00
C70,,,,,"[{'product_id': 'P64', 'price': 1533}, {'product_id': 'P62', 'price': 883}]",2018-12-05 13:07:00
C84,,,,,"[{'product_id': 'P27', 'price': 177}]",2018-12-05 12:22:00
C90,,,,,"[{'product_id': 'P58', 'price': 1741}, {'product_id': 'P54', 'price': 1133}]",2018-12-05 19:38:00
C95,,,,,"[{'product_id': 'P42', 'price': 588}]",2018-12-05 04:47:00
C105,,,,,"[{'product_id': 'P46', 'price': 951}, {'product_id': 'P51', 'price': 1025}]",2018-12-05 22:04:00
C109,,,,,"[{'product_id': 'P40', 'price': 1729}]",2018-12-05 16:49:00
C117,,,,,"[{'product_id': 'P39', 'price': 1551}, {'product_id': 'P38', 'price': 1167}, {'product_id': 'P37', 'price': 426}]",2018-12-05 18:47:00
C121,,,,,"[{'product_id': 'P49', 'price': 1840}, {'product_id': 'P44', 'price': 952}]",2018-12-05 20:44:00
C127,,,,,"[{'product_id': 'P18', 'price': 278}, {'product_id': 'P21', 'price': 1248}]",2018-12-05 09:17:00
C129,,,,,"[{'product_id': 'P41', 'price': 659}, {'product_id': 'P53', 'price': 767}]",2018-12-05 05:09:00
C131,,,,,"[{'product_id': 'P59', 'price': 809}, {'product_id': 'P52', 'price': 209}]",2018-12-05 21:49:00
C1,,,,,"[{'product_id': 'P62', 'price': 1902}]",2018-12-06 09:56:00
C14,,,,,"[{'product_id': 'P43', 'price': 1047}]",2018-12-06 17:58:00
C21,,,,,"[{'product_id': 'P35', 'price': 787}, {'product_id': 'P37', 'price': 1189}, {'product_id': 'P35', 'price': 473}]",2018-12-06 12:08:00
C26,,,,,"[{'product_id': 'P58', 'price': 1015}]",2018-12-06 04:59:00
C27,,,,,"[{'product_id': 'P64', 'price': 1233}, {'product_id': 'P63', 'price': 375}, {'product_id': 'P63', 'price': 789}]",2018-12-06 22:28:00
C28,,,,,"[{'product_id': 'P39', 'price': 494}]",2018-12-06 19:48:00
C31,,,,,"[{'product_id': 'P24', 'price': 219}, {'product_id': 'P26', 'price': 1235}, {'product_id': 'P26', 'price': 406}]",2018-12-06 14:11:00
C33,,,,,"[{'product_id': 'P61', 'price': 258}]",2018-12-06 14:03:00
C44,,,,,"[{'product_id': 'P33', 'price': 1558}, {'product_id': 'P26', 'price': 1518}, {'product_id': 'P34', 'price': 1457}]",2018-12-06 11:31:00
C70,,,,,"[{'product_id': 'P09', 'price': 1803}]",2018-12-06 20:06:00
C86,,,,,"[{'product_id': 'P13', 'price': 197}, {'product_id': 'P17', 'price': 1897}]",2018-12-06 14:48:00
C93,,,,,"[{'product_id': 'P37', 'price': 1235}, {'product_id': 'P37', 'price': 782}]",2018-12-06 18:02:00
C95,,,,,"[{'product_id': 'P48', 'price': 828}, {'product_id': 'P57', 'price': 1938}]",2018-12-06 17:42:00
C96,,,,,"[{'product_id': 'P63', 'price': 502}]",2018-12-06 22:34:00
C97,,,,,"[{'product_id': 'P55', 'price': 402}, {'product_id': 'P47', 'price': 1468}]",2018-12-06 12:05:00
C108,,,,,"[{'product_id': 'P37', 'price': 1030}, {'product_id': 'P36', 'price': 323}, {'product_id': 'P38', 'price': 429}]",2018-12-06 07:13:00
C119,,,,,"[{'product_id': 'P22', 'price': 1987}]",2018-12-06 03:36:00
C124,,,,,"[{'product_id': 'P31', 'price': 308}]",2018-12-06 23:58:00
C125,,,,,"[{'product_id': 'P40', 'price': 334}, {'product_id': 'P40', 'price': 1010}]",2018-12-06 04:32:00
C133,,,,,"[{'product_id': 'P62', 'price': 753}, {'product_id': 'P64', 'price': 946}]",2018-12-06 05:02:00
C136,,,,,"[{'product_id': 'P33', 'price': 1096}]",2018-12-06 08:04:00
C6,,,,,"[{'product_id': 'P17', 'price': 1397}, {'product_id': 'P13', 'price': 38}, {'product_id': 'P20', 'price': 1537}]",2018-12-07 23:18:00
C9,,,,,"[{'product_id': 'P24', 'price': 417}, {'product_id': 'P23', 'price': 1057}]",2018-12-07 04:02:00
